,title,label
0,bhc치킨 배민과 함께하는 할인 이벤트,0
1,bhc치킨 배민서 신메뉴 주문시 5천원 할인,1
2,bhc치킨 5월 최고 판매량은 어린이날뿌링클 인기 증명,1
3,bhc치킨 배달의민족에서 신메뉴 주문 5000원 할인,1
4,BHC 뿌링클 치킨이 반값이랜드몰 59일 특가 할인행사,0
5,bhc치킨 이색 소스 치킨 메뉴 추천,0
6,bhc치킨 매출 4000억 사상 최대뿌링클·부분육 주도,0
7,bhc치킨 여름철 입맛 살리는 이색 소스 치킨 메뉴 4 종 인기몰이 ,1
8,해커스공무원 공무원 초시생 위한 합격로드맵 30 무료 배포 진행,0
9,무신사 요기요 물물교환 BHC 뿌링클 먹는 방법은,0
10,bhc 작년 매출 4천억원 돌파사상 처음이자 최대 실적,1
11,이랜드몰 키디키디 첫 상품은 BHC 뿌링클 9500원,0
12,bhc 치킨 여름철 입맛을 위한 이색 소스 치킨 메뉴 추천,0
13,bhc치킨 신메뉴 2종 출시 기념 및 고객 성원 보답 이벤트 진행,1
14,BBQ bhc 매각後 8년엇갈린 양사 운명,-1
15,bhc치킨 뿌링클 카카오톡 선물하기 받고 싶은 선물 TOP3 등극,0
16,BHC에서 뿌링클 배달시켰는데 치킨에 닭털이 박혀 있어요,0
17,bhc치킨 동반 성장 위한 2021 가맹점 소간담회 전국 순회,0
18,강남 토익학원 해커스어학원 여름방학 토익 입문자 대상 놀라운 햌데이 이,0
19,bhc치킨 4천억 클럽 입성교촌과 양강 구도,0
20,뿌링클 상자 뜯어져 배달 와서 치킨뼈 줄 세워 봤습니다소비자가 확인한,0
21,박성은의 SWOT② 치킨 톱2’ bhc 외연 확장 안간힘,0
22,이랜드몰 신년할인 2시간마다 선착순이랜드·뿌링클 반값 품절 대란 주의,0
23,해커스 2022년 소방공무원 시험 대비 소방학개론·소방관계법규 입문서 무,0
24,bhc 2020년 매출 사상 첫 4000억원 돌파선두 바짝 추격,1
25,bhc 전년대비 매출 26증가··· 교촌과 함께 매출 4000억클럽가입 양강구,1
26,이랜드몰 반값소 오늘 단 하루 뿌링클50 킴스클럽 반값쿠폰,0
27,이건 뿌링클도 못 이긴다90년대생 라떼들이 어린시절 먹었던 달콤쫀득,0
28,식음료 열전①치킨잘 나가는 교촌 vs 따라가는 bhc vs 떠오르는 BBQ,0
29,파워 인플루언서 B급 유머에 빵터지고 섬세한 요리에 침이 꼴깍,0
30,bhc치킨 뿌링클 2014년 11월 출시한 이래 6년간 5200만 개 판매 ,1
31,bhc 치킨 뿌링클 스테디 셀러 메뉴 입증,0
32,bhc치킨 뿌링클 누적판매 5200만개 돌파,1
33,bhc치킨 뿌링클’ 전 국민이 1개씩 먹었다,0
34,BHC 뿌링클 6년만에 5200만개 누적 판매 달성,0
35,bhc치킨 지난해 뿌링클 제품 라인업 확대로 인해 소비자 선택의 폭 넓혀”,0
36,bhc치킨 뿌링클 누적판매 5200만 개 돌파,1
37,1인 1뿌bhc치킨 뿌링클 5200만개 판매,0
38,뿌링클 매직 계속된다bhc치킨 뿌링핫도그’ 출시 1년만 100만개 돌파,1
39,신한카드 디지털 정기구독하면 아이패드 드려요,0
40,BHC치킨 부성1동에 뿌링클 치킨 나눔 행사,0
41,지금 요기요서 BHC 뿌링클 등 전메뉴 6천원 할인,0
42,뿌링클치즈볼신전떡볶이 역대급 치킨매니아 레게노 3탄 트윙클 치킨,0
43,인터넷 발칵 뒤집은 에타 뿌링클좌 미칠 듯 달달한 후기 전했다,0
44,주문 2시간이 지나도 치킨이 안 와 사장에게 항의한 고객이 들은 비현실적 대,-1
45,뿌링클을 여기에 뿌린다고” BHC ○○ 사업 진출한다,1
46,뿌링클 스타벅스 100개 쏜다” 보기만 해도 선물 주는 위키트리 놀라방 이,0
47,bhc 쿠팡이츠에서 뿌링클 주문하면 6000원 할인 이벤트,0
48,보기만 해도 소비요구 절로 이랜드몰 사십쑈 들썩 뿌링클 53 킴스클럽 반,0
49,2021 치킨 게임 ③ bhc치킨 박현종 bhc 회장 과감한 혁신으로 1위 넘본다,1
50,Sh수협은행 계좌잔액 채우고 뿌링클 치킨 받으세요,0
51,계좌잔액 채우고 뿌링클 치킨 받으세요,0
52,수협은행 계좌 잔액 채우고 뿌링클 치킨 받으세요,0
53,bhc치킨 뿌링클 제조를 포장용 봉투에가맹점 위생 논란,-1
54,너 댓글 달 시간에 난 뿌링클···악플 본 이영지의 사이다 대처법 영상,0
55,게임 속 뿌링클 만들면 할인bhc치킨 마이리틀셰프와 협업,0
56,초복인 오늘16일 배달의 민족서 BHC 주문하면 뿌링클 포함 전 메뉴 할인,0
57,bhc치킨 뿌링클순살 이어 골드킹 순살’폭발적 인기,1
58,bhc치킨 뿌링클 위협하는 부분육 콤보시리즈,0
59,가입자 아니라도 괜찮아 KT 뿌링클 세트 뿌린다고,0
60,bhc치킨 콤보 시리즈 뿌링클 이어 스테디셀러 2위 등극,0
61,90분에 치킨 매출 1억 배달의민족 라방 대기표 뽑는 식품 기업들,0
62,임금옥 bhc대표 히트상품 뿌링클·치전부리···RD의 결과물,0
63,12시 뿌링클 9900원에 판매 저녁 9시까지 타임세일 계속,0
64,위메프 12시 뿌링클13시 마스크 오후 5시까지 특템 찬스’,0
65,bhc치킨 쿠팡이츠서 전 메뉴 4000원 할인,0
66,오늘10일 오전 10시 이랜드몰 들어가면 BHC 뿌링클콜라 세트 반값,0
67,뿌링클부터 맵소킹까지신메뉴 돌풍 일으킨 bhc치킨 성공신화 이어나가나,1
68,bhc치킨 스테디셀러 뿌링클 활용 신제품으로 시장 공략,1
69,코로나19 덕 본 치킨업계연 매출 4천억 시대 개막,0
70,데이터K SNS 치킨 언급량 급증 교촌치킨 주춤하는 사이 BHC 뿌링클로,0
71,또 시작된 궁금증 이랜드몰 땡스세일 왜 특급 이벤트 뿌링클 9500 현재 상,0
72,해커스소방 2022 소방 시험 대비 소방학개론·소방관계법규 쌩기초 입문서,0
73,이번 주 금요일10일 이랜드몰 들어가면 BHC 뿌링클콜라 세트 반값,0
74,해커스공무원 2022년 공무원 시험 대비 환승재도전 이벤트’ 진행,0
75,유통 핫피플뿌링클 아성에 도전하는 골드킹 윙’ 출시까지 보류하며 맛,1
76,뿌링클로 신화 쓴 bhc치킨 초고속 성장의 비밀이 뭔지 알아봤다,0
77,bhc치킨 국민 치킨으로 등극한 뿌링클’,0
78,유통단신 GS샵GS리테일·이랜드몰·팔도 외,0
79,뿌링클 인기 뛰어넘을 정도로 불티나게 팔린다는 bhc 신메뉴,1
80,이랜드몰 땡스세일 BHC뿌링클부터 모던하우스 쿠폰까지 2시간마다 기회’,0
81,27일 단 하루 스마트워치 뿌링클 치킨 등 특가이랜드몰 땡스세일 진행,0
82,출시 5년 BHC 뿌링클’ 3400만개 판매,1
83,bhc치킨 뿌링클 출시 5년만에 3천400만개 판매 돌파,1
84,일반 뿌링클보다 매콤짭짤해 무기력한 기운 한 방에 싹 날려주는 핫뿌링클 치,0
85,아이랑 골드킹 가족은 뿌링클bhc치킨 연령대별 메뉴 추천,0
