,title,label
0,핫시즈너 동대문엽기떡볶이 tvN 드라마 슬기로운 의사생활 시즌2 제작지,0
1,슬기로운 의사생활 시즌2 에 동대문 엽기떡볶이 제작 지원,0
2,동대문엽기떡볶이 브랜드 유니폼 무상 지원 유니폼 캠페인 진행,0
3,동대문엽기떡볶이 리뉴얼 유니폼 위생 디자인 강화 캠페인,0
4,동대문엽기떡볶이 엽도그’ 소시지는 2배 증량 리뉴얼 출시,1
5,먹잘알’ 소유가 정리한 로제 떡볶이 순위,0
6,동대문엽기떡볶이 X 화이트세스코 매장 안전관리 시스템 강화,0
7,food 강다니엘 백현도 반한 로제떡볶이의 매력,0
8,떡볶이가 살렸네 떡 쌀 소비 1등 공신으로 부상,1
9,외식·식품업계 매운맛으로 여름 입맛 잡는다,0
10,동대문엽기떡볶이 엽기로제떡볶이 출시,1
11,더위에는 매운맛” 여름 맞이 매운맛 마케팅 나선 식품업계,0
12,코글플래닛 동대문엽기떡볶이 여비와 더기 캐릭터 이모티콘 제작 및 광고 대,0
13,동대문엽기떡볶이 4색 조합 엽봉’ 새로운 엽떡 꿀조합’,1
14,동대문 엽기 떡볶이 엽떡캐릭터 여비더기 등장,0
15,지금 엽떡에서 신메뉴 로제떡볶이 주문하면 7천원 할인받을 수 있다,1
16,동대문엽기떡볶이 엽기떡볶이 캐릭터 공개,0
17,동대문엽기떡볶이 신메뉴 엽기로제떡볶이 출시,1
18,엽기떡볶이 로제떡볶이 출시로 소비자 입맛 겨냥 최대 7천원 할인 혜택 제,1
19,네고왕2 바라고 바라던 떡볶이 네고 도전 내용은,0
20,부먹 찍먹 이제는 갓먹 시대,0
21,서울시 동부병원 의료진 위한 엽기떡볶이 후원 받아,0
22,동대문엽기떡볶이 엽기로제떡볶이 성공적 신메뉴 출시할인 행사 진행,1
23,먹는 것도 타이밍 식품업계 모먼트 마케팅’에 주목,1
24,동대문엽기떡볶이 신메뉴 출시 새로운 맛 다양하게 만나보세요,1
25,미우새’ 블랙핑크 로제 떡볶이 좋아하는데매운 거 잘 못 먹어”,0
26,지금 가장 핫한 떡볶이 맛집 5곳,1
27,걸작떡볶이 네고왕 찐맵 출시네고 내용은,1
28,핫시즈너 동대문엽기떡볶이 2021 대한민국을 빛낼 인물?브랜드 대상 수상,1
29,엽기떡볶이 꾸덕한 로제 소스에 토핑 아낌없이 들어간 로제떡볶이 출시,1
30,걸작떡볶이치킨 로제떡볶이·감바스떡볶이 신메뉴 출시로 유행,1
31,엽기떡볶이 엽기로제떡볶이 출시 기념 할인쿠폰 모바일앱 제공,1
32,떡볶이 전문 유튜버 엽떡 맛 내는 레시피 찾아내 싹 공개했다 레시피,0
33,동대문엽기떡볶이 엽기로제떡볶이 출시 8일부터 맛볼 수 있어,1
34,엽떡이 쏘아올린 로제 바람 유통가 로제 인기몰이,1
35,부먹 찍먹 아니고 갓먹” 식품업계 모먼트 마케팅’ 열풍,1
